z,ZGasMassQ50,ZGasMassQ16,ZGasMassQ84,NeutralGasMassQ50,NeutralGasMassQ16,NeutralGasMassQ84,Metallicity
8.01,363.493891346098,205.917052521016,642.388908207243,2241435.64095275,1441414.26310535,3423337.0684159,0.000162143827114724
8.26,299.402475102959,167.104345786126,536.101162923049,1949105.18088083,1225559.99849008,3033891.80780531,0.00015358662724981
8.51,247.752331961273,136.157082605315,449.637901531246,1701494.77792371,1045226.79934037,2700977.33419714,0.000145587436146436
8.76,205.288658434914,111.110423784395,377.43034190948,1486352.38689977,891962.149664567,2405685.18680477,0.000138096665746809
9.01,172.98537809113,92.269494719974,321.884357277631,1298212.87454165,761341.118910421,2143200.30115249,0.000133231101347501
9.26,146.876088890747,77.1512706362742,276.68693104026,1138524.27635504,652043.527781054,1918241.54634535,0.000128989031271677
9.51,124.622764571398,64.4907113816291,237.569943995681,996877.036618318,557777.81430874,1713542.38994552,0.000124997549802008
9.76,106.188160468143,54.1113265746094,205.022902444094,875770.469485004,478542.685696662,1537267.64023039,0.000121236431569712
10.01,90.6623831230451,45.4891895100108,177.208064401982,770274.775077199,411022.2487236,1380213.39608842,0.00011768750091117
10.26,77.842742894568,38.4309980461049,154.003934623399,676686.277411375,352736.195343607,1237214.6704955,0.000115021970840924
10.51,67.7516974021115,32.8565842394699,135.846398977036,597554.771268038,304191.143706386,1115638.8916683,0.000113368714863562
10.76,58.9652508374118,28.104630736561,119.734375119393,527344.93577299,262355.110641757,1004499.17508587,0.000111802834076398
11.01,51.3807400251619,24.0686017242569,105.658580445429,465699.799771165,226460.205698697,904893.880135925,0.000110318002777295
11.26,44.9699837811247,20.6942361453555,93.6730108595173,412870.417223412,196187.420438042,818445.126903731,0.000108908471745955
11.51,39.3809572444172,17.8170048007078,83.0027701231918,366060.102032967,170136.394626468,739404.840750732,0.00010756900535003
11.76,34.5756394577046,15.3779161941779,73.7312825276983,325245.972479531,147866.205532598,669268.114926258,0.00010629482659706
12.01,30.4545341257008,13.3149488255832,65.7127761163223,289787.583171396,128882.956579578,607451.746189289,0.000105081568996906
12.26,26.9468719849823,11.5725375620589,58.9159203122804,258085.447773337,112398.540816631,550719.176686121,0.000104399759732618
12.51,23.9972795882306,10.1180487577596,53.2147351614708,230666.323771568,98422.4787908883,500886.642212757,0.000104023781660563
12.76,21.4421698720426,8.88528999036116,48.2002497409065,206819.919658261,86557.6489114328,456720.29816859,0.000103664807089499
13.01,19.1561402814392,7.81270479883871,43.6145886781112,185383.576951023,76215.6537629552,415925.812796904,0.000103321779361286
13.26,17.1911324016198,6.90760410508504,39.6101011532442,166897.176192629,67476.6235646802,380074.223290819,0.000102993724729182
13.51,15.4822172614171,6.13459018386334,36.0675556490869,150766.128409253,60002.6339209284,348143.425906117,0.000102679744546346
13.76,13.9503905048768,5.45870511586473,32.8175839789636,136248.265226608,53457.7100438785,318590.463188192,0.000102379008309071
14.01,12.6296627104907,4.88856200928243,29.9678001618083,123697.530426419,47930.9670572326,292533.799210067,0.000102090747448644
14.26,11.4836845217065,4.4052273498705,27.4474383080331,112779.059353102,43241.1583752717,269359.791174561,0.000101814249780461
14.51,10.4468020074781,3.97947122017167,25.1164292675283,102864.194725793,39104.7025151896,247752.174033206,0.000101548854531415
14.76,9.54723248951759,3.61813104878583,23.0531841569655,94243.1962887084,35591.334142872,228529.288318951,0.000101293947877182
15.01,8.77558184228871,3.3140590697452,21.2415776775931,86836.0760149506,32633.1707472285,211580.419695095,0.000101048958930028
15.26,8.079072349104,3.04510824002855,19.573944496252,80099.2117357517,30009.1023197214,195719.871018024,0.00010085314666873
15.51,7.48239591046821,2.81723285939072,18.1450565137482,74183.5186548099,27763.4233242049,181432.420080968,0.00010085314666873
