,z,CSFHQ50,CSFHQ16,CSFHQ84,CSFHQ05,CSFHQ95,CAGNHQ50,CAGNHQ16,CAGNHQ84,CAGNHQ05,CAGNHQ95,CSMHQ50,CSMHQ16,CSMHQ84,CSMHQ05,CSMHQ95,CSMH_R041_Q50,CSMH_R041_Q16,CSMH_R041_Q84,CSMH_R041_Q05,CSMH_R041_Q95,CSFHERR,CAGNHERR,CSMHERR,CSMH_R041_ERR
96,9.600000000000001,-2.155739514984707,-2.340477516394893,-1.991843999513455,-2.462195407104069,-1.8833501715515601,40.04787980390017,39.83116789489381,40.26892105954136,39.64919596993947,40.42034431478152,5.821908725985541,5.571467336767574,6.069214513718461,5.417060151315523,6.223829058158027,5.7286472609591925,5.473391551922032,5.968959046959634,5.31266490507043,6.1244313456895725,0.17431675844071903,0.2188765823237766,0.2488735884754436,0.24778374751880117
97,9.700000000000001,-2.1701848093573264,-2.3581388377922146,-2.003136312155862,-2.483363465419927,-1.8924734802391794,40.02385314883777,39.80057232127761,40.249450812643744,39.61731879383722,40.40474792111973,5.799155389162728,5.544187113932635,6.049591886103085,5.388609444977587,6.206960737977858,5.705267766372351,5.445726650123319,5.948479412851457,5.282885447695276,6.106084181624659,0.17750126281817624,0.22443924568306528,0.2527023860852249,0.2513763813640688
98,9.8,-2.1844331108102866,-2.3764362525710214,-2.014558089729377,-2.5042929675940977,-1.901593437322338,39.99910393671891,39.77025480676816,40.22963483154034,39.583936244949484,40.38841796123807,5.776439503977921,5.516957977632847,6.029889040062928,5.3601063316797815,6.190353224936853,5.682471643176209,5.418707522972043,5.929035824454302,5.25353837819025,6.087807540865628,0.18093908142082227,0.2296900123860901,0.25646553121504034,0.2551641507411295
99,9.9,-2.1988022892826424,-2.3940008450121466,-2.0248977526488954,-2.5251419479779718,-1.9102283065421484,39.97296751459562,39.74084946483088,40.20941473364061,39.54700011476263,40.37267179100965,5.753760448163507,5.489952445370772,6.01022487309011,5.331518314746565,6.174009087835456,5.659275934993492,5.391738845363698,5.91016934711984,5.224283067529672,6.069600159610746,0.18455154618162561,0.2342826344048632,0.26013621385966923,0.25921525087807096
100,10.0,-2.213542193111911,-2.4119296841834306,-2.0355249209738755,-2.545655311728857,-1.9187230021704011,39.94784438816135,39.7112237245208,40.19003304235042,39.5134317631388,40.355847264566165,5.7311216085980305,5.46303420989581,5.9906025362739985,5.302956544568673,6.15768441668497,5.635872161880431,5.364794678621995,5.89084042116122,5.195064394309604,6.051460806505127,0.18820238160477754,0.2394046589148111,0.2637841631890945,0.26302287126961277
101,10.100000000000001,-2.227297012884684,-2.4296480602704555,-2.0462180165260087,-2.5665183029791843,-1.927755623639049,39.92351777307144,39.67992179754777,40.17099771151334,39.479278339314305,40.33838104608044,5.708131968940708,5.435936288793864,5.970887821568406,5.274426549637765,6.1413862310095295,5.6126651300750074,5.337698746982717,5.871124151457148,5.1648599679959215,6.033388281449216,0.19171502187222345,0.24553795698278336,0.26747576638727066,0.26671270223721555
102,10.200000000000001,-2.2410554604706343,-2.4483567435626616,-2.056950821331445,-2.587431774240211,-1.936798920723751,39.89852922887214,39.64951937664932,40.14954302451174,39.446051887455454,40.32108964209427,5.684506248316977,5.40885679208106,5.950914854939277,5.245917716273067,6.123787001701718,5.58965799664949,5.31096106099453,5.8509923649609465,5.134106094761614,6.015689225010616,0.19570296111560825,0.25001182393121013,0.27102903142910817,0.2700156519832082
103,10.3,-2.254824801649778,-2.466754988614845,-2.068286387473095,-2.608394265033799,-1.9458397942989867,39.87308665199181,39.61973580834186,40.127858056482935,39.412892998675886,40.30433011799718,5.660978804992749,5.381690608681835,5.93180868211661,5.217441777871832,6.107867879835415,5.566706152854324,5.283998864554989,5.8316946829189495,5.103372244022845,5.998495595152542,0.199234300570875,0.2540611240705388,0.2750590367173875,0.2738479091819803
104,10.4,-2.2688515607683595,-2.485201064230951,-2.0796431736509584,-2.6294053477406414,-1.9544701232047053,39.848579163747665,39.58680655068729,40.10672321552125,39.37583240441364,40.2890337612925,5.638292073115685,5.354418674852222,5.913892462674854,5.188990956049509,6.091945416950105,5.5440880979213665,5.2565047610619295,5.812742930319619,5.072806292210007,5.981376040630984,0.2027789452899964,0.2599583324169785,0.27973689391131584,0.2781190846288446
105,10.5,-2.284208433720193,-2.503668646468819,-2.090477818078419,-2.64965831012747,-1.9635063919373699,39.82357344883337,39.55324524004624,40.086862011630195,39.33825867569141,40.27161291402805,5.615792812200017,5.327174924760206,5.895997447055547,5.160565013006486,6.076025892199762,5.521425792273906,5.22912865840303,5.793778782721686,5.041815918581813,5.964325599842796,0.2065954141952,0.26680838579197896,0.28441126114767057,0.28232506215932807
