#Growth history of baryons in galaxies
#rho values are in Msun/cMpc^3
#redshift rho_atom rho_mol rho_z_cold rho_star rho_BH
2.9495265 321942.28354382346 200936.87800739793 2385.3612994448185 295227.0426061649 877.0980881965837
2.882292 333256.547986659 205240.74932879646 2530.571428344343 310246.9670293079 910.8443541934662
2.8162024 344809.1702896549 210444.31531806593 2673.1894329333504 325166.87312206207 942.6172689394659
2.7512376 355480.3004944867 212337.88771065432 2825.4348223644342 342150.68933866074 981.8568298776895
2.687379 366639.60794200015 214628.4677288475 2973.2947751076376 359952.76767444215 1022.0933407686038
2.6246073 377552.4752400288 222336.04539814484 3131.299775485716 376801.7281066677 1055.930170537465
2.5629041 388518.8877048314 225918.52014116396 3304.712728558777 395295.4344163989 1093.1300393700506
2.5022516 400499.1745929383 227705.42024965247 3493.58180799366 414601.27145341155 1135.8567478018174
2.4426315 412814.2494138341 228877.6483200424 3680.74494085375 435638.9480028906 1185.2380903636042
2.384026 424961.4425439797 229547.8860972459 3860.116459396169 458471.48501909355 1243.9526726237686
2.3264186 438471.54654889816 232521.7156817057 4005.687754713171 478948.8359586895 1287.2527701663275
2.2697916 451327.08963090606 239135.71083298262 4196.686817858061 498844.78462874185 1323.000488719748
2.2141287 461594.662768784 238154.0262171597 4380.194467558285 522774.8059578115 1383.9992376405612
2.1594133 474113.4321831259 237395.59742519498 4510.343929632232 546778.7175267817 1435.5541787717382
2.1056294 487841.47930017 239017.82088869982 4693.601729467163 570340.0889177897 1486.7327120993195
2.0527613 501636.72786594974 245369.96031710392 4903.532227176414 592059.3254170172 1523.7228757889761
2.000793 515602.54060643655 250302.28188965181 5161.804046970598 614112.4789126839 1559.400239015405
1.9497092 527488.522506608 254096.8296338002 5425.103346842889 638985.7243083778 1606.4035851332535
1.8994952 538993.1387980137 259731.66588466804 5666.921545987342 661662.886279811 1638.0475604743701
1.850136 551795.4502503335 256473.1794637027 5899.085960031622 688758.6915647938 1685.6322566055812
1.801617 565139.4841121089 255912.67966654967 6149.713680352349 717339.1297887706 1740.397550771692
1.753924 578674.7407588041 256126.47712165117 6363.69893110424 744568.0141479733 1787.335848830929
1.7070429 594721.8126752196 257636.1581900598 6616.559514491272 770907.9163564052 1828.4298918166946
1.66096 607680.9275079228 260812.44563834925 6870.760795521481 799025.5738416549 1868.3364675232929
1.6156614 612070.7950844815 250864.55839695802 7066.315400110034 829836.0271700732 1927.7151387500326
1.571134 618301.1950299374 242512.12203568473 7222.831915833111 857700.695064489 1974.470676259657
1.5273646 623462.4335126161 233935.1234460288 7358.642464179504 887165.7955949425 2027.0552274566348
1.4843403 632739.0901093652 227007.1905781726 7468.6602325322865 911848.4104424345 2054.9913273731045
1.4420484 638004.9803038125 222809.817353604 7636.97739145732 937258.5706789341 2089.9092068859154
1.4004765 643460.1772232105 215278.16882692729 7757.354947688677 963122.8022906648 2129.8538860578087
1.3596122 647180.4689341914 205850.6486356992 7808.718963241964 990455.2235631088 2178.686606761246
